,Area,ISO 3 code,Year,Area type,Continent,Ember region,EU,OECD,G20,G7,ASEAN,Category,Subcategory,Variable,Unit,Value,YoY absolute change,YoY % change
85226,Czechia,CZE,2015,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",mtCO2,1.08,0.02,1.89
85227,Czechia,CZE,2015,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,Aggregate fuel,Renewables,mtCO2,1.2,0.03,2.56
85228,Czechia,CZE,2015,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,Aggregate fuel,Wind and Solar,mtCO2,0.12,0.01,9.09
85229,Czechia,CZE,2015,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,553.16,22.33,4.21
85230,Czechia,CZE,2015,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,Fuel,Bioenergy,mtCO2,1.04,0.03,2.97
85231,Czechia,CZE,2015,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,Fuel,Coal,mtCO2,41.47,0.38,0.92
85232,Czechia,CZE,2015,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,Fuel,Gas,mtCO2,0.97,0.2,25.97
85233,Czechia,CZE,2015,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,Fuel,Hydro,mtCO2,0.04,-0.01,-20.0
85234,Czechia,CZE,2015,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,Fuel,Nuclear,mtCO2,0.13,-0.02,-13.33
85235,Czechia,CZE,2015,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,Fuel,Other Fossil,mtCO2,1.86,-0.07,-3.63
85236,Czechia,CZE,2015,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,Fuel,Other Renewables,mtCO2,0.0,0.0,
85237,Czechia,CZE,2015,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,Fuel,Solar,mtCO2,0.11,0.01,10.0
85238,Czechia,CZE,2015,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,Fuel,Wind,mtCO2,0.01,0.0,0.0
85239,Czechia,CZE,2015,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,Total,Total emissions,mtCO2,45.63,0.52,1.15
85240,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Capacity,Aggregate fuel,Clean,GW,8.49,0.0,0.0
85241,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Capacity,Aggregate fuel,Fossil,GW,10.49,0.33,3.25
85242,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Capacity,Aggregate fuel,Gas and Other Fossil,GW,1.73,0.0,0.0
85243,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Capacity,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",GW,1.86,0.0,0.0
85244,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Capacity,Aggregate fuel,Renewables,GW,4.2,0.0,0.0
85245,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Capacity,Aggregate fuel,Wind and Solar,GW,2.34,0.0,0.0
85246,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Capacity,Fuel,Bioenergy,GW,0.74,-0.01,-1.33
85247,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Capacity,Fuel,Coal,GW,8.76,0.33,3.91
85248,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Capacity,Fuel,Gas,GW,1.7,0.0,0.0
85249,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Capacity,Fuel,Hydro,GW,1.09,0.0,0.0
85250,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Capacity,Fuel,Nuclear,GW,4.29,0.0,0.0
85251,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Capacity,Fuel,Other Fossil,GW,0.03,0.0,0.0
85252,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Capacity,Fuel,Other Renewables,GW,0.03,0.01,50.0
85253,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Capacity,Fuel,Solar,GW,2.06,0.0,0.0
85254,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Capacity,Fuel,Wind,GW,0.28,0.0,0.0
85255,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity demand,Demand,Demand,TWh,71.03,1.05,1.5
85256,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity demand,Demand per capita,Demand per capita,MWh,6.74,0.09,1.35
85257,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Aggregate fuel,Clean,%,40.84,,
85258,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Aggregate fuel,Fossil,%,59.16,,
85259,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,7.98,,
85260,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,8.24,,
85261,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Aggregate fuel,Renewables,%,11.45,,
85262,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Aggregate fuel,Wind and Solar,%,3.21,,
85263,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Aggregate fuel,Clean,TWh,33.49,-2.76,-7.61
85264,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Aggregate fuel,Fossil,TWh,48.51,2.27,4.91
85265,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Aggregate fuel,Gas and Other Fossil,TWh,6.54,1.44,28.24
85266,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",TWh,6.76,0.18,2.74
85267,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Aggregate fuel,Renewables,TWh,9.39,-0.02,-0.21
85268,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Aggregate fuel,Wind and Solar,TWh,2.63,-0.2,-7.07
85269,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Fuel,Bioenergy,%,5.8,,
85270,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Fuel,Coal,%,51.18,,
85271,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Fuel,Gas,%,4.55,,
85272,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Fuel,Hydro,%,2.44,,
85273,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Fuel,Nuclear,%,29.39,,
85274,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Fuel,Other Fossil,%,3.43,,
85275,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Fuel,Other Renewables,%,0.0,,
85276,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Fuel,Solar,%,2.6,,
85277,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Fuel,Wind,%,0.61,,
85278,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Fuel,Bioenergy,TWh,4.76,-0.03,-0.63
85279,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Fuel,Coal,TWh,41.97,0.83,2.02
85280,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Fuel,Gas,TWh,3.73,1.45,63.6
85281,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Fuel,Hydro,TWh,2.0,0.21,11.73
85282,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Fuel,Nuclear,TWh,24.1,-2.74,-10.21
85283,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Fuel,Other Fossil,TWh,2.81,-0.01,-0.35
85284,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Fuel,Other Renewables,TWh,0.0,0.0,
85285,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Fuel,Solar,TWh,2.13,-0.13,-5.75
85286,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Fuel,Wind,TWh,0.5,-0.07,-12.28
85287,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Total,Total Generation,TWh,82.0,-0.49,-0.59
85288,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity imports,Electricity imports,Net Imports,TWh,-10.97,1.54,
85289,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,Aggregate fuel,Clean,mtCO2,1.31,-0.02,-1.5
85290,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,Aggregate fuel,Fossil,mtCO2,45.75,1.45,3.27
85291,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,Aggregate fuel,Gas and Other Fossil,mtCO2,3.44,0.61,21.55
85292,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",mtCO2,1.08,0.0,0.0
85293,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,Aggregate fuel,Renewables,mtCO2,1.19,-0.01,-0.83
85294,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,Aggregate fuel,Wind and Solar,mtCO2,0.11,-0.01,-8.33
85295,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,573.9,20.74,3.75
85296,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,Fuel,Bioenergy,mtCO2,1.03,-0.01,-0.96
85297,Czechia,CZE,2016,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,Fuel,Coal,mtCO2,42.31,0.84,2.03
